query_id,query_text,doc_id,path,title,score,snippet,sources,relevance
q001,axum routing handlers,axum/axum-core/README.md#axum-core,axum/axum-core/README.md,axum-core,26.321468,[![Build status](https://github.com/tokio-rs/axum/actions/workflows/CI.yml/badge.svg?branch=main)](https://github.com/tokio-rs/axum-core/actions/workflows/CI.yml),section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-core/README.md#axum-core/license/contribution,axum/axum-core/README.md,axum-core > License > Contribution,24.944145,"Unless you explicitly state otherwise, any contribution intentionally submitted",section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-core/README.md#axum-core/minimum-supported-rust-version,axum/axum-core/README.md,axum-core > Minimum supported Rust version,1.000000,axum-core's MSRV is 1.75.,section:boolean,
q001,axum routing handlers,axum/axum-extra/README.md#axum-extra,axum/axum-extra/README.md,axum-extra,26.321468,[![Build status](https://github.com/tokio-rs/axum/actions/workflows/CI.yml/badge.svg?branch=main)](https://github.com/tokio-rs/axum-extra/actions/workflows/CI.yml),section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-extra/README.md#axum-extra/license/contribution,axum/axum-extra/README.md,axum-extra > License > Contribution,24.944145,"Unless you explicitly state otherwise, any contribution intentionally submitted",section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-extra/README.md#axum-extra/minimum-supported-rust-version,axum/axum-extra/README.md,axum-extra > Minimum supported Rust version,1.000000,axum-extra's MSRV is 1.75.,section:boolean,
q001,axum routing handlers,axum/axum-macros/README.md#axum-macros,axum/axum-macros/README.md,axum-macros,26.321468,[![Build status](https://github.com/tokio-rs/axum/actions/workflows/CI.yml/badge.svg?branch=main)](https://github.com/tokio-rs/axum-macros/actions/workflows/CI.yml),section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-macros/README.md#axum-macros/license/contribution,axum/axum-macros/README.md,axum-macros > License > Contribution,24.944145,"Unless you explicitly state otherwise, any contribution intentionally submitted",section:bm25|section:bm25plus|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum-macros/README.md#axum-macros/minimum-supported-rust-version,axum/axum-macros/README.md,axum-macros > Minimum supported Rust version,1.000000,axum-macros's MSRV is 1.75.,section:boolean,
q001,axum routing handlers,axum/axum/README.md#axum,axum/axum/README.md,axum,36.790588,`axum` is an HTTP routing and request-handling library that focuses on ergonomics and modularity.,section:bm25|section:bm25plus|section:boolean|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum/README.md#axum/high-level-features,axum/axum/README.md,axum > High level features,35.598442,- Route requests to handlers with a macro free API.,section:bm25|section:bm25plus|section:boolean|section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum/README.md#axum/usage-example,axum/axum/README.md,axum > Usage example,36.677422,```rust,section:bm25|section:bm25plus|section:boolean,
q001,axum routing handlers,axum/axum/README.md#derive-serialize/license/contribution,axum/axum/README.md,[derive(Serialize)] > License > Contribution,30.359921,"Unless you explicitly state otherwise, any contribution intentionally submitted",section:pivoted|section:tfidf,
q001,axum routing handlers,axum/axum/README.md#derive-serialize/minimum-supported-rust-version,axum/axum/README.md,[derive(Serialize)] > Minimum supported Rust version,1.000000,axum's MSRV is 1.80.,section:boolean,
